REF_DATE,GEO,Labour_force_characteristics,NAICS,Sex,VALUE
2008,Saskatchewan,Employment,Construction,Males,32.2
2008,Saskatchewan,Employment,Construction,Females,3.5
2008,Saskatchewan,Employment,Manufacturing,Males,25.0
2008,Saskatchewan,Employment,Manufacturing,Females,6.6
2008,Saskatchewan,Employment,Services-producing sector,Males,161.1
2008,Saskatchewan,Employment,Services-producing sector,Females,217.4
2008,Saskatchewan,Employment,Transportation and warehousing,Males,20.0
2008,Saskatchewan,Employment,Transportation and warehousing,Females,5.5
2008,Saskatchewan,Employment,"Finance, insurance, real estate, rental and leasing",Males,10.4
2008,Saskatchewan,Employment,"Finance, insurance, real estate, rental and leasing",Females,17.8
2008,Saskatchewan,Employment,"Professional, scientific and technical services",Males,11.4
2008,Saskatchewan,Employment,"Professional, scientific and technical services",Females,9.7
2008,Saskatchewan,Employment,Educational services,Males,12.9
2008,Saskatchewan,Employment,Educational services,Females,25.1
2008,Saskatchewan,Employment,Health care and social assistance,Males,9.4
2008,Saskatchewan,Employment,Health care and social assistance,Females,54.2
2008,Saskatchewan,Employment,"Information, culture and recreation",Males,10.2
2008,Saskatchewan,Employment,"Information, culture and recreation",Females,9.8
2008,Alberta,Employment,Goods-producing sector,Males,464.8
2008,Alberta,Employment,Goods-producing sector,Females,120.8
2008,Alberta,Employment,Construction,Males,187.2
2008,Alberta,Employment,Construction,Females,29.3
2008,Alberta,Employment,Manufacturing,Males,104.9
2008,Alberta,Employment,Manufacturing,Females,35.3
2008,Alberta,Employment,Services-producing sector,Males,672.3
2008,Alberta,Employment,Services-producing sector,Females,795.9
2008,Alberta,Employment,Transportation and warehousing,Males,78.5
2008,Alberta,Employment,Transportation and warehousing,Females,29.7
2008,Alberta,Employment,"Finance, insurance, real estate, rental and leasing",Males,43.9
2008,Alberta,Employment,"Finance, insurance, real estate, rental and leasing",Females,69.1
2008,Alberta,Employment,"Professional, scientific and technical services",Males,95.5
2008,Alberta,Employment,"Professional, scientific and technical services",Females,66.0
2008,Alberta,Employment,Educational services,Males,39.8
2008,Alberta,Employment,Educational services,Females,82.7
2008,Alberta,Employment,Health care and social assistance,Males,31.5
2008,Alberta,Employment,Health care and social assistance,Females,161.6
2008,Alberta,Employment,"Information, culture and recreation",Males,37.4
2008,Alberta,Employment,"Information, culture and recreation",Females,35.8
2008,British Columbia,Employment,Goods-producing sector,Males,385.8
2008,British Columbia,Employment,Goods-producing sector,Females,100.3
2008,British Columbia,Employment,Construction,Males,188.9
2008,British Columbia,Employment,Construction,Females,29.2
2008,British Columbia,Employment,Manufacturing,Males,131.2
2008,British Columbia,Employment,Manufacturing,Females,46.7
2008,British Columbia,Employment,Services-producing sector,Males,804.0
2008,British Columbia,Employment,Services-producing sector,Females,951.8
2008,British Columbia,Employment,Transportation and warehousing,Males,94.9
2008,British Columbia,Employment,Transportation and warehousing,Females,28.9
2008,British Columbia,Employment,"Finance, insurance, real estate, rental and leasing",Males,58.1
2008,British Columbia,Employment,"Finance, insurance, real estate, rental and leasing",Females,80.6
2008,British Columbia,Employment,"Professional, scientific and technical services",Males,91.4
2008,British Columbia,Employment,"Professional, scientific and technical services",Females,74.2
2008,British Columbia,Employment,Educational services,Males,54.3
2008,British Columbia,Employment,Educational services,Females,99.0
2008,British Columbia,Employment,Health care and social assistance,Males,48.5
2008,British Columbia,Employment,Health care and social assistance,Females,192.7
2008,British Columbia,Employment,"Information, culture and recreation",Males,61.3
2008,British Columbia,Employment,"Information, culture and recreation",Females,50.9
2009,Newfoundland and Labrador,Employment,Goods-producing sector,Males,38.8
2009,Newfoundland and Labrador,Employment,Goods-producing sector,Females,7.6
2009,Newfoundland and Labrador,Employment,Construction,Males,15.1
2009,Newfoundland and Labrador,Employment,Construction,Females,1.6
2009,Newfoundland and Labrador,Employment,Manufacturing,Males,8.4
2009,Newfoundland and Labrador,Employment,Manufacturing,Females,3.5
2009,Newfoundland and Labrador,Employment,Services-producing sector,Males,71.1
2009,Newfoundland and Labrador,Employment,Services-producing sector,Females,97.7
2009,Newfoundland and Labrador,Employment,Transportation and warehousing,Males,8.8
2009,Newfoundland and Labrador,Employment,Transportation and warehousing,Females,2.7
2009,Newfoundland and Labrador,Employment,"Finance, insurance, real estate, rental and leasing",Males,2.7
2009,Newfoundland and Labrador,Employment,"Finance, insurance, real estate, rental and leasing",Females,3.7
2009,Newfoundland and Labrador,Employment,"Professional, scientific and technical services",Males,3.9
2009,Newfoundland and Labrador,Employment,"Professional, scientific and technical services",Females,3.5
2009,Newfoundland and Labrador,Employment,Educational services,Males,5.9
2009,Newfoundland and Labrador,Employment,Educational services,Females,10.4
2009,Newfoundland and Labrador,Employment,Health care and social assistance,Males,5.6
2009,Newfoundland and Labrador,Employment,Health care and social assistance,Females,29.4
2009,Newfoundland and Labrador,Employment,"Information, culture and recreation",Males,5.0
2009,Newfoundland and Labrador,Employment,"Information, culture and recreation",Females,4.1
2009,Prince Edward Island,Employment,Goods-producing sector,Males,13.5
2009,Prince Edward Island,Employment,Goods-producing sector,Females,3.6
2009,Prince Edward Island,Employment,Construction,Males,4.9
2009,Prince Edward Island,Employment,Construction,Females,0.6
2009,Prince Edward Island,Employment,Manufacturing,Males,3.7
2009,Prince Edward Island,Employment,Manufacturing,Females,1.7
2009,Prince Edward Island,Employment,Services-producing sector,Males,21.0
2009,Prince Edward Island,Employment,Services-producing sector,Females,30.0
2009,Prince Edward Island,Employment,Transportation and warehousing,Males,1.9
2009,Prince Edward Island,Employment,Transportation and warehousing,Females,0.4
2009,Prince Edward Island,Employment,"Finance, insurance, real estate, rental and leasing",Males,1.2
2009,Prince Edward Island,Employment,"Finance, insurance, real estate, rental and leasing",Females,1.3
2009,Prince Edward Island,Employment,"Professional, scientific and technical services",Males,1.2
2009,Prince Edward Island,Employment,"Professional, scientific and technical services",Females,1.0
2009,Prince Edward Island,Employment,Educational services,Males,1.5
2009,Prince Edward Island,Employment,Educational services,Females,3.2
2009,Prince Edward Island,Employment,Health care and social assistance,Males,1.3
2009,Prince Edward Island,Employment,Health care and social assistance,Females,7.3
2009,Prince Edward Island,Employment,"Information, culture and recreation",Males,1.3
2009,Prince Edward Island,Employment,"Information, culture and recreation",Females,1.1
2009,Nova Scotia,Employment,Goods-producing sector,Males,71.2
2009,Nova Scotia,Employment,Goods-producing sector,Females,17.1
2009,Nova Scotia,Employment,Construction,Males,27.3
2009,Nova Scotia,Employment,Construction,Females,3.0
2009,Nova Scotia,Employment,Manufacturing,Males,25.8
2009,Nova Scotia,Employment,Manufacturing,Females,9.5
2009,Nova Scotia,Employment,Services-producing sector,Males,153.5
2009,Nova Scotia,Employment,Services-producing sector,Females,207.6
2009,Nova Scotia,Employment,Transportation and warehousing,Males,15.0
2009,Nova Scotia,Employment,Transportation and warehousing,Females,4.9
2009,Nova Scotia,Employment,"Finance, insurance, real estate, rental and leasing",Males,8.5
2009,Nova Scotia,Employment,"Finance, insurance, real estate, rental and leasing",Females,12.4
2009,Nova Scotia,Employment,"Professional, scientific and technical services",Males,11.8
2009,Nova Scotia,Employment,"Professional, scientific and technical services",Females,8.7
2009,Nova Scotia,Employment,Educational services,Males,12.3
2009,Nova Scotia,Employment,Educational services,Females,23.3
2009,Nova Scotia,Employment,Health care and social assistance,Males,10.7
2009,Nova Scotia,Employment,Health care and social assistance,Females,55.0
2009,Nova Scotia,Employment,"Information, culture and recreation",Males,9.5
2009,Nova Scotia,Employment,"Information, culture and recreation",Females,7.9
2009,New Brunswick,Employment,Goods-producing sector,Males,64.3
2009,New Brunswick,Employment,Goods-producing sector,Females,15.1
2009,New Brunswick,Employment,Construction,Males,23.8
2009,New Brunswick,Employment,Construction,Females,2.0
2009,New Brunswick,Employment,Manufacturing,Males,22.9
2009,New Brunswick,Employment,Manufacturing,Females,8.7
2009,New Brunswick,Employment,Services-producing sector,Males,120.0
2009,New Brunswick,Employment,Services-producing sector,Females,160.6
2009,New Brunswick,Employment,Transportation and warehousing,Males,13.1
2009,New Brunswick,Employment,Transportation and warehousing,Females,5.7
2009,New Brunswick,Employment,"Finance, insurance, real estate, rental and leasing",Males,5.9
2009,New Brunswick,Employment,"Finance, insurance, real estate, rental and leasing",Females,9.2
2009,New Brunswick,Employment,"Professional, scientific and technical services",Males,9.1
2009,New Brunswick,Employment,"Professional, scientific and technical services",Females,7.6
2009,New Brunswick,Employment,Educational services,Males,9.6
2009,New Brunswick,Employment,Educational services,Females,16.5
2009,New Brunswick,Employment,Health care and social assistance,Males,9.0
2009,New Brunswick,Employment,Health care and social assistance,Females,43.1
2009,New Brunswick,Employment,"Information, culture and recreation",Males,5.3
2009,New Brunswick,Employment,"Information, culture and recreation",Females,5.6
2009,Quebec,Employment,Goods-producing sector,Males,660.1
2009,Quebec,Employment,Goods-producing sector,Females,201.1
2009,Quebec,Employment,Construction,Males,192.4
2009,Quebec,Employment,Construction,Females,20.9
2009,Quebec,Employment,Manufacturing,Males,370.3
2009,Quebec,Employment,Manufacturing,Females,148.2
2009,Quebec,Employment,Services-producing sector,Males,1341.3
2009,Quebec,Employment,Services-producing sector,Females,1651.7
2009,Quebec,Employment,Transportation and warehousing,Males,131.6
2009,Quebec,Employment,Transportation and warehousing,Females,42.0
2009,Quebec,Employment,"Finance, insurance, real estate, rental and leasing",Males,94.0
2009,Quebec,Employment,"Finance, insurance, real estate, rental and leasing",Females,139.6
2009,Quebec,Employment,"Professional, scientific and technical services",Males,156.0
2009,Quebec,Employment,"Professional, scientific and technical services",Females,111.8
2009,Quebec,Employment,Educational services,Males,85.0
2009,Quebec,Employment,Educational services,Females,170.3
2009,Quebec,Employment,Health care and social assistance,Males,90.4
2009,Quebec,Employment,Health care and social assistance,Females,396.2
2009,Quebec,Employment,"Information, culture and recreation",Males,84.2
2009,Quebec,Employment,"Information, culture and recreation",Females,82.6
2009,Ontario,Employment,Goods-producing sector,Males,1040.1
2009,Ontario,Employment,Goods-producing sector,Females,324.9
2009,Ontario,Employment,Construction,Males,368.7
2009,Ontario,Employment,Construction,Females,46.1
2009,Ontario,Employment,Manufacturing,Males,541.5
2009,Ontario,Employment,Manufacturing,Females,232.1
2009,Ontario,Employment,Services-producing sector,Males,2260.7
2009,Ontario,Employment,Services-producing sector,Females,2807.0
2009,Ontario,Employment,Transportation and warehousing,Males,239.8
2009,Ontario,Employment,Transportation and warehousing,Females,77.6
2009,Ontario,Employment,"Finance, insurance, real estate, rental and leasing",Males,206.2
2009,Ontario,Employment,"Finance, insurance, real estate, rental and leasing",Females,274.1
2009,Ontario,Employment,"Professional, scientific and technical services",Males,261.8
2009,Ontario,Employment,"Professional, scientific and technical services",Females,218.2
2009,Ontario,Employment,Educational services,Males,147.8
2009,Ontario,Employment,Educational services,Females,303.1
2009,Ontario,Employment,Health care and social assistance,Males,116.2
2009,Ontario,Employment,Health care and social assistance,Females,587.0
2009,Ontario,Employment,"Information, culture and recreation",Males,163.2
2009,Ontario,Employment,"Information, culture and recreation",Females,148.8
2009,Manitoba,Employment,Goods-producing sector,Males,114.0
2009,Manitoba,Employment,Goods-producing sector,Females,25.8
2009,Manitoba,Employment,Construction,Males,35.1
2009,Manitoba,Employment,Construction,Females,3.4
2009,Manitoba,Employment,Manufacturing,Males,46.2
2009,Manitoba,Employment,Manufacturing,Females,14.7
2009,Manitoba,Employment,Services-producing sector,Males,205.4
2009,Manitoba,Employment,Services-producing sector,Females,255.3
2009,Manitoba,Employment,Transportation and warehousing,Males,29.5
2009,Manitoba,Employment,Transportation and warehousing,Females,7.5
2009,Manitoba,Employment,"Finance, insurance, real estate, rental and leasing",Males,12.8
2009,Manitoba,Employment,"Finance, insurance, real estate, rental and leasing",Females,21.5
2009,Manitoba,Employment,"Professional, scientific and technical services",Males,12.1
2009,Manitoba,Employment,"Professional, scientific and technical services",Females,12.0
2009,Manitoba,Employment,Educational services,Males,16.5
2009,Manitoba,Employment,Educational services,Females,30.6
2009,Manitoba,Employment,Health care and social assistance,Males,15.1
2009,Manitoba,Employment,Health care and social assistance,Females,68.1
2009,Manitoba,Employment,"Information, culture and recreation",Males,12.3
2009,Manitoba,Employment,"Information, culture and recreation",Females,10.5
2009,Saskatchewan,Employment,Goods-producing sector,Males,116.8
2009,Saskatchewan,Employment,Goods-producing sector,Females,24.3
2009,Saskatchewan,Employment,Construction,Males,35.3
2009,Saskatchewan,Employment,Construction,Females,3.6
2009,Saskatchewan,Employment,Manufacturing,Males,25.0
2009,Saskatchewan,Employment,Manufacturing,Females,5.2
2009,Saskatchewan,Employment,Services-producing sector,Males,162.9
2009,Saskatchewan,Employment,Services-producing sector,Females,221.8
2009,Saskatchewan,Employment,Transportation and warehousing,Males,19.7
2009,Saskatchewan,Employment,Transportation and warehousing,Females,4.8
2009,Saskatchewan,Employment,"Finance, insurance, real estate, rental and leasing",Males,9.7
2009,Saskatchewan,Employment,"Finance, insurance, real estate, rental and leasing",Females,18.8
2009,Saskatchewan,Employment,"Professional, scientific and technical services",Males,12.2
2009,Saskatchewan,Employment,"Professional, scientific and technical services",Females,10.0
2009,Saskatchewan,Employment,Educational services,Males,10.5
2009,Saskatchewan,Employment,Educational services,Females,27.9
2009,Saskatchewan,Employment,Health care and social assistance,Males,9.0
2009,Saskatchewan,Employment,Health care and social assistance,Females,58.0
2009,Saskatchewan,Employment,"Information, culture and recreation",Males,9.8
2009,Saskatchewan,Employment,"Information, culture and recreation",Females,9.4
2009,Alberta,Employment,Goods-producing sector,Males,430.3
2009,Alberta,Employment,Goods-producing sector,Females,110.1
2009,Alberta,Employment,Construction,Males,174.5
2009,Alberta,Employment,Construction,Females,27.5
2009,Alberta,Employment,Manufacturing,Males,95.4
2009,Alberta,Employment,Manufacturing,Females,28.0
2009,Alberta,Employment,Services-producing sector,Males,676.5
2009,Alberta,Employment,Services-producing sector,Females,812.8
2009,Alberta,Employment,Transportation and warehousing,Males,79.7
2009,Alberta,Employment,Transportation and warehousing,Females,26.2
2009,Alberta,Employment,"Finance, insurance, real estate, rental and leasing",Males,46.8
2009,Alberta,Employment,"Finance, insurance, real estate, rental and leasing",Females,66.0
2009,Alberta,Employment,"Professional, scientific and technical services",Males,88.3
2009,Alberta,Employment,"Professional, scientific and technical services",Females,60.9
2009,Alberta,Employment,Educational services,Males,39.5
2009,Alberta,Employment,Educational services,Females,90.2
2009,Alberta,Employment,Health care and social assistance,Males,30.7
2009,Alberta,Employment,Health care and social assistance,Females,172.7
2009,Alberta,Employment,"Information, culture and recreation",Males,36.5
2009,Alberta,Employment,"Information, culture and recreation",Females,38.3
2009,British Columbia,Employment,Goods-producing sector,Males,355.0
2009,British Columbia,Employment,Goods-producing sector,Females,86.3
2009,British Columbia,Employment,Construction,Males,181.1
2009,British Columbia,Employment,Construction,Females,22.6
2009,British Columbia,Employment,Manufacturing,Males,111.6
2009,British Columbia,Employment,Manufacturing,Females,42.8
2009,British Columbia,Employment,Services-producing sector,Males,786.7
2009,British Columbia,Employment,Services-producing sector,Females,963.9
2009,British Columbia,Employment,Transportation and warehousing,Males,86.7
2009,British Columbia,Employment,Transportation and warehousing,Females,26.9
2009,British Columbia,Employment,"Finance, insurance, real estate, rental and leasing",Males,60.5
2009,British Columbia,Employment,"Finance, insurance, real estate, rental and leasing",Females,72.2
2009,British Columbia,Employment,"Professional, scientific and technical services",Males,87.5
2009,British Columbia,Employment,"Professional, scientific and technical services",Females,72.3
2009,British Columbia,Employment,Educational services,Males,51.1
2009,British Columbia,Employment,Educational services,Females,95.9
2009,British Columbia,Employment,Health care and social assistance,Males,48.0
2009,British Columbia,Employment,Health care and social assistance,Females,209.0
2009,British Columbia,Employment,"Information, culture and recreation",Males,60.1
2009,British Columbia,Employment,"Information, culture and recreation",Females,51.8
2010,Newfoundland and Labrador,Employment,Goods-producing sector,Males,38.8
2010,Newfoundland and Labrador,Employment,Goods-producing sector,Females,8.4
2010,Newfoundland and Labrador,Employment,Construction,Males,15.3
2010,Newfoundland and Labrador,Employment,Construction,Females,1.2
2010,Newfoundland and Labrador,Employment,Manufacturing,Males,6.9
2010,Newfoundland and Labrador,Employment,Manufacturing,Females,3.4
2010,Newfoundland and Labrador,Employment,Services-producing sector,Males,73.5
2010,Newfoundland and Labrador,Employment,Services-producing sector,Females,102.1
2010,Newfoundland and Labrador,Employment,Transportation and warehousing,Males,9.7
2010,Newfoundland and Labrador,Employment,Transportation and warehousing,Females,2.5
2010,Newfoundland and Labrador,Employment,"Finance, insurance, real estate, rental and leasing",Males,2.8
2010,Newfoundland and Labrador,Employment,"Finance, insurance, real estate, rental and leasing",Females,4.1
2010,Newfoundland and Labrador,Employment,"Professional, scientific and technical services",Males,4.0
2010,Newfoundland and Labrador,Employment,"Professional, scientific and technical services",Females,2.8
2010,Newfoundland and Labrador,Employment,Educational services,Males,6.9
2010,Newfoundland and Labrador,Employment,Educational services,Females,9.9
2010,Newfoundland and Labrador,Employment,Health care and social assistance,Males,5.9
2010,Newfoundland and Labrador,Employment,Health care and social assistance,Females,31.4
2010,Newfoundland and Labrador,Employment,"Information, culture and recreation",Males,4.2
2010,Newfoundland and Labrador,Employment,"Information, culture and recreation",Females,3.8
2010,Prince Edward Island,Employment,Goods-producing sector,Males,13.3
2010,Prince Edward Island,Employment,Goods-producing sector,Females,3.2
2010,Prince Edward Island,Employment,Construction,Males,4.7
2010,Prince Edward Island,Employment,Construction,Females,0.5
2010,Prince Edward Island,Employment,Manufacturing,Males,3.5
2010,Prince Edward Island,Employment,Manufacturing,Females,1.5
2010,Prince Edward Island,Employment,Services-producing sector,Males,22.0
2010,Prince Edward Island,Employment,Services-producing sector,Females,31.2
2010,Prince Edward Island,Employment,Transportation and warehousing,Males,1.6
2010,Prince Edward Island,Employment,Transportation and warehousing,Females,0.6
2010,Prince Edward Island,Employment,"Finance, insurance, real estate, rental and leasing",Males,1.1
2010,Prince Edward Island,Employment,"Finance, insurance, real estate, rental and leasing",Females,1.2
2010,Prince Edward Island,Employment,"Professional, scientific and technical services",Males,1.5
2010,Prince Edward Island,Employment,"Professional, scientific and technical services",Females,1.3
2010,Prince Edward Island,Employment,Educational services,Males,1.9
2010,Prince Edward Island,Employment,Educational services,Females,3.7
2010,Prince Edward Island,Employment,Health care and social assistance,Males,1.6
2010,Prince Edward Island,Employment,Health care and social assistance,Females,7.0
2010,Prince Edward Island,Employment,"Information, culture and recreation",Males,1.4
2010,Prince Edward Island,Employment,"Information, culture and recreation",Females,1.0
2010,Nova Scotia,Employment,Goods-producing sector,Males,72.4
2010,Nova Scotia,Employment,Goods-producing sector,Females,15.0
2010,Nova Scotia,Employment,Construction,Males,29.5
2010,Nova Scotia,Employment,Construction,Females,3.1
2010,Nova Scotia,Employment,Manufacturing,Males,25.0
2010,Nova Scotia,Employment,Manufacturing,Females,7.6
2010,Nova Scotia,Employment,Services-producing sector,Males,154.7
2010,Nova Scotia,Employment,Services-producing sector,Females,209.1
2010,Nova Scotia,Employment,Transportation and warehousing,Males,15.0
